X,Y,TNT_NAME,activity_type,address,date_fixed,latitude,longitude,repair_type,truck_name,FID
-76.160166444606119,43.019877902201785,Southside,    Accessory On,1728 SOUTH AVE & HILLVIEW AVE                     ,2018-04-20T08:30:02.000Z,43.0198779022018,-76.1601664446061,STREET REPAIR,DP2             ,1001
-76.159221144604743,43.024122403018872,Southside,    Accessory On,1321 SOUTH AVE & ROCKLAND AVE                     ,2018-04-20T08:33:56.000Z,43.0241224030189,-76.1592211446047,STREET REPAIR,DP2             ,1002
-76.157654647930741,43.077355212860532,Northside,    Accessory On,937 LEMOYNE AVE & FOURTH NORT                     ,2018-04-20T10:16:32.000Z,43.0773552128605,-76.1576546479308,STREET REPAIR,DP2             ,1003
-76.157643947930751,43.07740321286974,Northside,    Accessory On,937 LEMOYNE AVE & FOURTH NORT                     ,2018-04-20T10:17:08.000Z,43.0774032128697,-76.1576439479308,STREET REPAIR,DP2             ,1004
-76.157677947935525,43.077316712852571,Northside,    Accessory On,937 LEMOYNE AVE & FOURTH NORT                     ,2018-04-20T10:17:55.000Z,43.0773167128526,-76.1576779479355,STREET REPAIR,DP2             ,1005
-76.157672147936765,43.07735961286064,Northside,    Accessory On,937 LEMOYNE AVE & FOURTH NORT                     ,2018-04-20T10:18:52.000Z,43.0773596128606,-76.1576721479368,STREET REPAIR,DP2             ,1006
-76.157734447957736,43.077370212860195,Northside,    Accessory On,937 LEMOYNE AVE & FOURTH NORT                     ,2018-04-20T10:20:04.000Z,43.0773702128602,-76.1577344479577,STREET REPAIR,DP2             ,1007
-76.161811649062727,43.074346712146962,Northside,    Accessory On,519 WOLF ST & FIRST NORTH ST                      ,2018-04-20T10:27:16.000Z,43.074346712147,-76.1618116490627,STREET REPAIR,DP2             ,1008
-76.161803749064248,43.074403112157647,Northside,    Accessory On,601 WOLF ST & FIRST NORTH ST                      ,2018-04-20T10:27:50.000Z,43.0744031121576,-76.1618037490642,STREET REPAIR,DP2             ,1009
-76.161744649042504,43.07436711215334,Northside,    Accessory On,518 WOLF ST & FIRST NORTH ST                      ,2018-04-20T10:28:28.000Z,43.0743671121533,-76.1617446490425,STREET REPAIR,DP2             ,1010
-76.155588943858646,43.030130404264128,Southside,    Accessory On,468 CORTLAND AVE & BALLARD AV                     ,2018-04-17T08:03:49.000Z,43.0301304042641,-76.1555889438586,STREET REPAIR,DP2             ,1011
-76.147082443878872,43.068742911688723,Northside,    Accessory On,102 CRAIG ST & FIRST NORTH ST                     ,2018-05-02T06:57:29.000Z,43.0687429116887,-76.1470824438789,STREET REPAIR,DP2             ,1012
-76.141650241887291,43.065568711316118,Northside,    Accessory On,934 HIGHLAND ST                                   ,2018-04-24T10:53:54.000Z,43.0655687113161,-76.1416502418873,STREET REPAIR,DP2             ,1013
-76.16156994900463,43.074628212208019,Northside,    Accessory On,600 WOLF ST & FIRST NORTH ST                      ,2018-04-20T10:29:46.000Z,43.074628212208,-76.1615699490046,STREET REPAIR,DP2             ,1014
-76.158493448305109,43.078771213087983,Northside,    Accessory On,913 WOLF ST                                       ,2018-04-20T10:34:18.000Z,43.078771213088,-76.1584934483051,STREET REPAIR,DP2             ,1015
-76.10741212916389,43.043152408521664,Eastside,    Accessory On,2727 GENESEE ST E & FERRIS AVE                    ,2018-04-20T11:18:20.000Z,43.0431524085217,-76.1074121291639,STREET REPAIR,DP2             ,1016
-76.107432629166894,43.043101708511557,Eastside,    Accessory On,2727 GENESEE ST E & FERRIS AVE                    ,2018-04-20T11:20:21.000Z,43.0431017085116,-76.1074326291669,STREET REPAIR,DP2             ,1017
